"full_name","a","e","i","om","w","H","pha","G","pdes","ma","moid","diameter","epoch_mjd"
"159857 (2004 LJ1)",2.263,0.5935,23.15,235.54,140.02,15.47,Y,,159857,319.37,0.0159,3.070,60600
"161989 Cacus (1978 CA)",1.123,0.2139,26.06,161.21,102.09,17.31,Y,,161989,338.81,0.0153,1.9,60600
"162000 (1990 OS)",1.678,0.4624,1.09,346.51,21.59,19.64,Y,,162000,239.67,0.00896,0.4,60600
"162039 (1996 JG)",1.802,0.6604,5.28,52.83,280.26,19.06,Y,,162039,246.30,0.0122,,60600
"162082 (1998 HL1)",1.246,0.1870,20.05,213.53,148.66,19.12,Y,,162082,228.22,0.0416,,60600
"162116 (1998 SA15)",1.916,0.5585,7.11,114.17,331.44,19.54,Y,,162116,267.66,0.0465,0.538,60600
"162120 (1998 SH36)",1.088,0.5709,2.13,217.82,278.85,20.65,Y,,162120,279.53,0.012,,60600
"162162 (1999 DB7)",1.206,0.1949,10.84,157.59,29.93,19.99,Y,,162162,110.33,0.00348,,60600
"162173 Ryugu (1999 JU3)",1.191,0.1911,5.87,251.29,211.61,19.55,Y,,162173,327.33,0.00117,0.896,60600
"162183 (1999 NB5)",2.072,0.5351,1.43,235.31,123.19,21.25,Y,,162183,143.03,0.013,,60600
"162210 (1999 SM5)",2.306,0.6950,5.19,327.62,319.31,19.30,Y,,162210,82.39,0.0496,,60600
"162416 (2000 EH26)",1.855,0.4780,0.40,215.25,19.22,21.67,Y,,162416,243.90,0.000924,,60600
"162422 (2000 EV70)",1.207,0.5311,1.40,108.93,314.50,20.60,Y,,162422,240.88,0.012,,60600
"162474 (2000 LB16)",1.241,0.3574,50.71,80.85,285.25,18.62,Y,,162474,163.39,0.00479,,60600
"162510 (2000 QW69)",1.376,0.3023,38.14,344.33,220.73,17.60,Y,,162510,91.40,0.0262,1.406,60600
"162567 (2000 RW37)",1.247,0.2501,13.75,333.29,133.29,19.97,Y,,162567,12.21,0.00905,0.335,60600
"162687 (2000 UH1)",1.875,0.5436,14.77,76.13,40.97,18.76,Y,,162687,92.72,0.0339,,60600
"162695 (2000 UL11)",2.122,0.6354,2.19,333.18,152.12,20.20,Y,,162695,246.49,0.0229,,60600
"162783 (2000 YJ11)",1.314,0.2323,7.26,64.92,339.16,20.91,Y,,162783,327.02,0.0302,,60600
"162825 (2001 BO61)",1.773,0.7444,9.07,159.52,79.16,17.97,Y,,162825,338.79,0.0163,,60600
"162882 (2001 FD58)",1.092,0.5752,6.50,341.15,46.02,18.80,Y,,162882,348.46,0.0328,,60600
"162922 (2001 OY13)",1.319,0.3820,10.30,284.18,291.31,20.91,Y,,162922,174.17,0.0131,,60600
"162979 (2001 RA12)",2.037,0.5441,17.09,311.58,326.05,18.29,Y,,162979,359.93,0.0207,,60600
"162998 (2001 SK162)",1.926,0.4743,1.68,285.29,186.45,18.17,Y,,162998,181.51,0.0301,0.875,60600
"163014 (2001 UA5)",1.787,0.4456,9.94,58.62,27.68,17.75,Y,,163014,207.87,0.032,,60600
"163026 (2001 XR30)",1.297,0.3652,11.86,247.85,294.50,21.23,Y,,163026,106.07,0.0209,,60600
"163051 (2001 YJ4)",2.274,0.5676,9.29,247.77,322.44,16.40,Y,,163051,208.69,0.0316,,60600
"163067 (2002 AP3)",2.046,0.5862,7.61,87.30,117.82,19.99,Y,,163067,254.83,0.0126,,60600
"163132 (2002 CU11)",1.22,0.2952,48.78,157.74,110.53,18.61,Y,,163132,229.17,0.000225,0.460,60600
"163249 (2002 GT)",1.344,0.3347,6.97,201.73,135.14,18.71,Y,,163249,59.89,0.0157,,60600
"163364 (2002 OD20)",1.365,0.3689,4.19,259.85,275.35,18.91,Y,,163364,84.09,0.0266,,60600
"163373 (2002 PZ39)",1.469,0.5465,1.67,328.77,260.13,19.03,Y,,163373,196.11,0.00261,,60600
"163683 (2002 YP2)",1.577,0.6881,20.63,52.46,281.41,19.09,Y,,163683,31.53,0.0192,,60600
"163697 (2003 EF54)",1.609,0.4728,2.95,268.45,353.79,20.08,Y,,163697,176.37,0.0419,,60600
"163818 (2003 RX7)",1.229,0.3545,10.39,241.01,245.91,18.46,Y,,163818,68.68,0.0264,0.386,60600
"164121 (2003 YT1)",1.11,0.2920,44.06,38.31,91.00,16.18,Y,,164121,235.13,0.0046,1.717,60600
"164207 (2004 GU9)",1.001,0.1359,13.65,38.41,279.48,21.18,Y,,164207,63.63,0.00017,0.163,60600
"164211 (2004 JA27)",1.666,0.4233,2.26,67.76,270.22,19.50,Y,,164211,128.89,0.0328,,60600
"164216 (2004 OT11)",2.153,0.5651,19.99,294.89,326.60,17.29,Y,,164216,167.15,0.0164,,60600
"164400 (2005 GN59)",1.657,0.4679,6.63,218.96,203.05,17.34,Y,,164400,169.72,0.0497,,60600
"168318 (1989 DA)",2.162,0.5417,6.49,349.07,139.82,18.91,Y,,168318,83.00,0.0463,0.9,60600
"170086 (2002 XR14)",1.905,0.6260,2.13,75.48,120.49,18.17,Y,,170086,69.28,0.0114,,60600
"170903 (2004 WS2)",1.336,0.6031,8.27,87.67,115.46,18.23,Y,,170903,267.96,0.0303,,60600
"171576 (1999 VP11)",1.086,0.5836,17.28,208.08,61.74,18.68,Y,,171576,111.24,0.00221,,60600
"171839 (2001 JM1)",1.46,0.3108,17.08,226.64,321.98,19.24,Y,,171839,118.84,0.0478,,60600
"172678 (2003 YM137)",2.559,0.7028,2.82,73.98,131.02,18.95,Y,,172678,326.04,0.0154,,60600
"173561 (2000 YV137)",1.448,0.3109,28.00,137.22,211.38,18.36,Y,,173561,330.30,0.0199,,60600
"175706 (1996 FG3)",1.055,0.3501,1.97,299.50,24.06,18.32,Y,,175706,32.72,0.0281,1.196,60600
"175729 (1998 BB10)",1.271,0.4246,11.54,124.27,259.25,20.44,Y,,175729,280.61,0.0226,,60600
"177049 (2003 EE16)",1.418,0.6143,0.65,127.23,259.50,19.85,Y,,177049,5.13,9.66e-05,,60600
"177614 (2004 HK33)",1.889,0.5204,5.44,104.70,221.54,17.59,Y,,177614,294.36,0.00818,,60600
"179806 (2002 TD66)",1.858,0.5347,4.93,335.53,125.88,20.46,Y,,179806,220.46,0.00591,,60600
"180186 (2003 QZ30)",2.422,0.6315,8.57,178.04,243.10,17.58,Y,,180186,198.78,0.0455,,60600
"184266 (2004 VW14)",2.121,0.5977,3.83,100.83,42.78,19.49,Y,,184266,140.17,0.00756,,60600
"185851 (2000 DP107)",1.365,0.3765,8.67,358.65,289.77,18.32,Y,,185851,62.22,0.0149,0.863,60600
"186844 (2004 GA1)",2.43,0.6726,7.77,261.48,54.63,17.43,Y,,186844,114.88,0.0174,,60600
"187040 (2005 JS108)",1.355,0.3222,6.04,110.84,244.00,19.23,Y,,187040,28.42,0.0196,0.430,60600
"189040 (2000 MU1)",1.372,0.3825,13.09,130.03,63.78,19.87,Y,,189040,84.71,0.0112,,60600
"189865 (2003 NC)",1.406,0.8055,21.57,288.39,224.33,19.46,Y,,189865,315.33,0.038,,60600
"192559 (1998 VO)",1.075,0.2266,10.06,228.12,75.97,20.43,Y,,192559,182.11,0.0253,,60600
"192563 (1998 WZ6)",1.452,0.4078,24.76,68.68,110.75,17.34,Y,,192563,226.25,0.036,,60600
"194006 (2001 SG10)",1.449,0.4243,4.26,184.93,101.62,20.46,Y,,194006,114.85,0.0173,,60600
"194268 (2001 UY4)",1.453,0.7875,5.44,160.69,107.81,18.34,Y,,194268,74.45,0.0259,1.244,60600
"196068 (2002 TW55)",2.118,0.6645,59.35,33.54,251.12,18.13,Y,,196068,85.27,0.026,,60600
"196625 (2003 RM10)",1.848,0.5917,13.72,341.17,287.44,20.29,Y,,196625,166.92,0.00504,,60600
"197588 (2004 HE12)",1.845,0.4659,42.71,338.03,162.22,17.13,Y,,197588,69.47,0.0122,,60600
"199145 (2005 YY128)",1.649,0.7323,3.77,299.96,315.17,18.28,Y,,199145,261.48,0.0297,,60600
"199801 (2007 AE12)",1.684,0.5694,2.29,245.44,86.98,19.36,Y,,199801,128.40,0.00656,,60600
