num,name,epoch,a,e,inc,w,omega,m,H,G,info,wiki,wikipic
463387,(2013 CT82),60600,2.085,0.6248,1.8,90.54,271.38,30.03,18.43,,,,
162183,(1999 NB5),60600,2.072,0.5351,1.43,123.19,235.31,143.03,21.25,,,,
406213,(2007 AB2),60600,1.919,0.5457,1.46,280.93,126.84,265.78,20.34,,,,
162922,(2001 OY13),60600,1.319,0.382,10.3,291.31,284.18,174.17,20.91,,,,
154590,(2003 MA3),60600,1.105,0.4022,1.42,228.88,152.67,56.99,21.71,,,,
620085,(2014 WG365),60600,1.296,0.3333,25.12,111.13,71.31,155.1,20.12,,,,
496901,(2001 HB),60600,1.314,0.694,9.28,238.0,195.82,260.14,20.69,,,,
139359,(2001 ME1),60600,2.634,0.87,5.96,302.4,84.57,138.82,16.53,,,,
469896,(2005 WC1),60600,1.401,0.4865,19.98,256.82,264.94,102.44,20.67,,,,
483423,(2000 DO1),60600,1.43,0.6818,3.46,302.82,335.78,110.43,20.53,,,,
443103,(2013 WT67),60600,1.035,0.1922,21.47,99.03,322.75,159.08,17.97,,,,
488515,(2001 FE90),60600,1.935,0.4952,8.81,145.42,98.38,256.64,20.71,,,,
3361,  3361 Orpheus (1982 HR),60600,1.21,0.3229,2.66,302.34,188.68,24.54,19.56,,,,
452302,(1995 YR1),60600,1.698,0.8268,3.58,110.04,106.52,335.76,20.23,,,,
13651, 13651 (1997 BR),60600,1.335,0.3057,17.25,133.86,116.63,262.62,17.89,,,,
513126,(1998 QP),60600,1.786,0.5826,9.35,78.46,326.43,325.88,21.71,,,,
390929,(2005 GP21),60600,1.308,0.2246,18.8,1.42,9.99,195.68,20.44,,,,
451297,(2010 TK54),60600,1.84,0.496,30.79,223.01,28.14,316.01,19.19,,,,
505178,(2012 TV78),60600,1.816,0.5488,7.47,244.94,251.75,268.57,19.46,,,,
444584,(2006 UK),60600,1.494,0.5389,4.75,252.35,243.92,255.97,20.25,,,,
452807,(2006 KV89),60600,1.15,0.2726,3.55,87.81,71.69,19.64,21.52,,,,
418135,(2008 AG33),60600,1.459,0.3367,16.01,155.54,38.29,156.61,19.36,,,,
482766,(2013 GF69),60600,1.967,0.4976,10.01,153.19,174.89,357.04,19.45,,,,
509191,(2006 OC5),60600,2.402,0.6521,4.74,245.8,149.09,305.36,19.25,,,,
506732,(2006 VW2),60600,1.236,0.2944,10.05,299.68,229.77,290.05,21.32,,,,
484402,(2007 XH16),60600,1.187,0.2348,27.43,58.32,91.27,323.0,19.68,,,,
302831,(2003 FH),60600,1.389,0.5406,25.8,274.37,24.12,5.07,19.12,,,,
483989,(2006 CY10),60600,1.96,0.4841,6.77,167.39,32.5,274.89,20.4,,,,
671970,(2014 QO296),60600,1.835,0.4701,10.94,30.72,193.51,59.12,20.15,,,,
675603,(2015 XE352),60600,1.335,0.3891,2.05,225.54,45.18,45.42,20.94,,,,
417634,(2006 XG1),60600,2.458,0.5958,20.5,344.14,38.46,232.29,18.57,,,,
377732,(2005 XJ8),60600,1.931,0.6204,23.56,67.46,115.79,337.57,17.07,,,,
185851,(2000 DP107),60600,1.365,0.3765,8.67,289.77,358.65,62.22,18.32,,,,
620094,(2016 AJ193),60600,3.261,0.8163,22.57,82.14,331.16,185.53,18.98,,,,
468005,(2012 XD112),60600,1.323,0.3658,3.72,76.79,97.77,234.88,21.18,,,,
152664,(1998 FW4),60600,2.525,0.7143,3.42,85.47,353.6,264.0,19.68,,,,
